family	cognate_metal	Mavi_homi_reg	Mavi_homi_site	MtubH37Rv_reg	MtubH37Rv_site	VchoRFB16_reg	VchoRFB16_site	VvulNBRC_reg	VvulNBRC_site	tot_reg	tot_site
BsCzrA	Zn/Co	8	2	11	3	3	0	3	0	25	5
CopY_saMecI	Cu	2	0	1	0	0	0	0	0	3	0
CsoR_bsCsoR	Cu	3	2	3	2	0	0	0	0	6	4
DtxR_bsMntR	Mn/Fe	2	2	2	2	0	0	0	0	4	4
GntR_LldR	?	12	5	6	1	5	1	9	2	32	9
LysR_ModE	Mo	2	0	0	0	0	0	0	0	2	0
MarR_AdcR	Zn	6	0	2	0	4	0	5	1	17	1
PbrR	Pb	11	1	3	0	4	3	6	3	24	7
Rrf2_ecIscR	Fe-S	1	0	1	0	1	1	2	2	5	3
TetR_SczA	Zn	15	0	6	0	0	0	3	0	24	0
ecFur	Fe	2	2	2	2	2	2	2	2	8	8
ecZntR	Zn	11	1	3	0	4	3	6	3	24	7
ecZur	Zn	2	2	2	2	2	2	2	2	8	8
mtNmtR	Ni/Co	8	2	11	3	3	0	3	0	25	5
