genome	accession	families	n_families	has_metalnet_site	site_residues	composition	max_prob	n_neighbor_genes_500bp	metal_gene_within_200bp	metal_gene_within_500bp	metal_neighbor	effective_200bp	effective_500bp
Mavi_homi	WP_003872558.1	LysR_ModE	1	no	-	-	-	2	no	no		no	no
Mavi_homi	WP_003873121.1	GntR_LldR	1	yes	E118,H164,H217,H239	3H,1E	0.953	2	no	no		no	no
Mavi_homi	WP_003873870.1	PbrR;ecZntR	2	no	-	-	-	2	no	no		no	no
Mavi_homi	WP_003874019.1	TetR_SczA	1	NA	-	-	-	2	no	no		NA	NA
Mavi_homi	WP_003874104.1	CsoR_bsCsoR	1	yes	C38,H63,C67	2C,1H	0.879	2	no	no		no	no
Mavi_homi	WP_003874151.1	GntR_LldR	1	yes	H134,E175,H176,H198	3H,1E	0.961	2	no	no		no	no
Mavi_homi	WP_003874166.1	GntR_LldR	1	yes	E140,H144,H186	2H,1E	0.895	3	no	no		no	no
Mavi_homi	WP_003874235.1	CsoR_bsCsoR	1	no	-	-	-	3	no	no		no	no
Mavi_homi	WP_003874323.1	TetR_SczA	1	no	-	-	-	2	no	no		no	no
Mavi_homi	WP_003874674.1	PbrR;ecZntR	2	NA	-	-	-	2	no	no		NA	NA
Mavi_homi	WP_003875160.1	DtxR_bsMntR	1	yes	H90,E94,H109,E113,E116,H117,D137,H139,D141	4H,3E,2D	0.962	2	no	no		no	no
Mavi_homi	WP_003875762.1	TetR_SczA	1	no	-	-	-	2	no	no		no	no
Mavi_homi	WP_003875976.1	PbrR;ecZntR	2	no	-	-	-	2	no	no		no	no
Mavi_homi	WP_003877217.1	BsCzrA;mtNmtR	2	yes	H88,D95	1H,1D	0.811	3	no	no		no	no
Mavi_homi	WP_003877537.1	TetR_SczA	1	no	-	-	-	2	no	no		no	no
Mavi_homi	WP_003877960.1	BsCzrA;mtNmtR	2	no	-	-	-	3	no	no		no	no
Mavi_homi	WP_003878320.1	BsCzrA;mtNmtR	2	yes	H108,H111,D115,H119,E122	3H,1E,1D	0.852	3	no	no		no	no
Mavi_homi	WP_003879062.1	LysR_ModE	1	no	-	-	-	2	no	no		no	no
Mavi_homi	WP_003879269.1	TetR_SczA	1	no	-	-	-	2	no	no		no	no
