seq_id	accessions	length	pct_X	n_org	n_fam	organisms	families
WP_003877217_1	WP_003877217.1	134	0.75	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_003877960_1	WP_003877960.1	108	0.93	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_003878320_1	WP_003878320.1	127	0.79	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_007170252_1	WP_007170252.1	129	0.78	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_008257374_1	WP_008257374.1	120	0.83	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_011724184_1	WP_011724184.1	119	0.84	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_014379994_1	WP_014379994.1	158	0.63	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_132160229_1	WP_132160229.1	119	0.84	1	2	Mavi_homi_e-5	BsCzrA;mtNmtR
WP_011725103_1	WP_011725103.1	140	0.71	1	1	Mavi_homi_e-5	CopY_saMecI
WP_033712913_1	WP_033712913.1	126	0.79	1	1	Mavi_homi_e-5	CopY_saMecI
WP_003874104_1	WP_003874104.1	97	1.03	1	1	Mavi_homi_e-5	CsoR_bsCsoR
WP_003874235_1	WP_003874235.1	103	0.97	1	1	Mavi_homi_e-5	CsoR_bsCsoR
WP_008257501_1	WP_008257501.1	97	1.03	1	1	Mavi_homi_e-5	CsoR_bsCsoR
WP_003875160_1	WP_003875160.1	153	0.0	1	1	Mavi_homi_e-5	DtxR_bsMntR
WP_033712699_1	WP_033712699.1	154	0.0	1	1	Mavi_homi_e-5	DtxR_bsMntR
WP_003873121_1	WP_003873121.1	274	0.36	1	1	Mavi_homi_e-5	GntR_LldR
WP_003874151_1	WP_003874151.1	219	0.46	1	1	Mavi_homi_e-5	GntR_LldR
WP_003874166_1	WP_003874166.1	231	0.43	1	1	Mavi_homi_e-5	GntR_LldR
WP_011724231_1	WP_011724231.1	231	0.43	1	1	Mavi_homi_e-5	GntR_LldR
WP_019732662_1	WP_019732662.1	82	0.0	1	1	Mavi_homi_e-5	GntR_LldR
WP_019733271_1	WP_019733271.1	120	0.0	1	1	Mavi_homi_e-5	GntR_LldR
WP_023860833_1	WP_023860833.1	250	0.4	1	1	Mavi_homi_e-5	GntR_LldR
WP_033710793_1	WP_033710793.1	237	0.42	1	1	Mavi_homi_e-5	GntR_LldR
WP_033718214_1	WP_033718214.1	94	0.0	1	1	Mavi_homi_e-5	GntR_LldR
WP_033720368_1	WP_033720368.1	80	0.0	1	1	Mavi_homi_e-5	GntR_LldR
WP_033720902_1	WP_033720902.1	486	0.21	1	1	Mavi_homi_e-5	GntR_LldR
WP_095785912_1	WP_095785912.1	90	0.0	1	1	Mavi_homi_e-5	GntR_LldR
WP_003872558_1	WP_003872558.1	80	1.25	1	1	Mavi_homi_e-5	LysR_ModE
WP_003879062_1	WP_003879062.1	71	1.41	1	1	Mavi_homi_e-5	LysR_ModE
WP_009974218_1	WP_009974218.1	81	0.0	1	1	Mavi_homi_e-5	MarR_AdcR
WP_009975136_1	WP_009975136.1	144	0.69	1	1	Mavi_homi_e-5	MarR_AdcR
WP_009979012_1	WP_009979012.1	129	0.78	1	1	Mavi_homi_e-5	MarR_AdcR
WP_011726214_1	WP_011726214.1	112	0.89	1	1	Mavi_homi_e-5	MarR_AdcR
WP_019733374_1	WP_019733374.1	109	0.0	1	1	Mavi_homi_e-5	MarR_AdcR
WP_023861029_1	WP_023861029.1	151	0.66	1	1	Mavi_homi_e-5	MarR_AdcR
WP_003873870_1	WP_003873870.1	132	0.76	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_003874674_1	WP_003874674.1	121	0.83	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_003875976_1	WP_003875976.1	125	0.8	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_007170246_1	WP_007170246.1	144	0.69	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_008257349_1	WP_008257349.1	147	0.68	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_009977019_1	WP_009977019.1	85	0.0	1	1	Mavi_homi_e-5	PbrR
WP_011724270_1	WP_011724270.1	169	0.0	1	1	Mavi_homi_e-5	PbrR
WP_019732316_1	WP_019732316.1	127	0.0	1	1	Mavi_homi_e-5	PbrR
WP_019733678_1	WP_019733678.1	136	0.74	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_023861587_1	WP_023861587.1	127	0.79	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_033720046_1	WP_033720046.1	139	0.72	1	2	Mavi_homi_e-5	PbrR;ecZntR
WP_009975678_1	WP_009975678.1	162	0.62	1	1	Mavi_homi_e-5	Rrf2_ecIscR
WP_003874019_1	WP_003874019.1	65	0.0	1	1	Mavi_homi_e-5	TetR_SczA
