genome	accession	families	has_metalnet_site	contig	upstream_1	downstream_1	n_neighbors_500bp	metal_within_200bp	metal_within_500bp	metal_neighbor	nearest_metal_gene	nearest_metal_gap_bp
Mavi_homi	WP_003872558.1	LysR_ModE	no	NZ_CP036220.2	mihF|479bp|other	pyrF|5bp|other	2	no	no			
Mavi_homi	WP_003873121.1	GntR_LldR	yes	NZ_CP036220.2	SDR family oxidoreductase|19bp|other	CaiB/BaiF CoA-transferase fami|95bp|other	2	no	no			
Mavi_homi	WP_003873870.1	PbrR;ecZntR	no	NZ_CP036220.2	AAA family ATPase|142bp|other	dnaJ|0bp|other	2	no	no			
Mavi_homi	WP_003874019.1	TetR_SczA	NA	NZ_CP036220.2	MFS transporter|282bp|generic_transport_nonmetal	ABC transporter substrate-bind|57bp|generic_transport_nonmetal	2	no	no			
Mavi_homi	WP_003874104.1	CsoR_bsCsoR	yes	NZ_CP036220.2	MFS transporter|122bp|generic_transport_nonmetal	ilvD|120bp|other	2	no	no		mymT	4461
Mavi_homi	WP_003874151.1	GntR_LldR	yes	NZ_CP036220.2	LLM class flavin-dependent oxi|11bp|other	LLM class flavin-dependent oxi|61bp|other	2	no	no			
Mavi_homi	WP_003874166.1	GntR_LldR	yes	NZ_CP036220.2	fadD5|183bp|other	SRPBCC family protein|0bp|other	3	no	no			
Mavi_homi	WP_003874235.1	CsoR_bsCsoR	no	NZ_CP036220.2	DUF302 domain-containing prote|46bp|hypothetical_uncharacterized	metallophosphoesterase family |73bp|other	3	no	no			
Mavi_homi	WP_003874323.1	TetR_SczA	no	NZ_CP036220.2	acyl-CoA dehydrogenase|200bp|other	DUF1214 domain-containing prot|77bp|hypothetical_uncharacterized	2	no	no			
Mavi_homi	WP_003874674.1	PbrR;ecZntR	NA	NZ_CP036220.2	DUF1360 domain-containing prot|75bp|hypothetical_uncharacterized	Hsp20/alpha crystallin family |151bp|other	2	no	no			
Mavi_homi	WP_003875160.1	DtxR_bsMntR	yes	NZ_CP036220.2	bifunctional riboflavin kinase|113bp|other	acyl-CoA dehydrogenase family |163bp|other	2	no	no			
Mavi_homi	WP_003875762.1	TetR_SczA	no	NZ_CP036220.2	SDR family oxidoreductase|1223bp|other	cytochrome P450|0bp|other	2	no	no			
Mavi_homi	WP_003875976.1	PbrR;ecZntR	no	NZ_CP036220.2	hypothetical protein|196bp|hypothetical_uncharacterized	GGDEF domain-containing protei|279bp|other	2	no	no			
Mavi_homi	WP_003877217.1	BsCzrA;mtNmtR	yes	NZ_CP036220.2	hypothetical protein|53bp|hypothetical_uncharacterized	nucleoside deaminase|43bp|other	3	no	no			
Mavi_homi	WP_003877537.1	TetR_SczA	no	NZ_CP036220.2	glmU|357bp|other	lysA|76bp|other	2	no	no		arsC	2923
Mavi_homi	WP_003877960.1	BsCzrA;mtNmtR	no	NZ_CP036220.2	MBL fold metallo-hydrolase|111bp|other	SRPBCC family protein|0bp|other	3	no	no			
Mavi_homi	WP_003878320.1	BsCzrA;mtNmtR	yes	NZ_CP036220.2	hypothetical protein|482bp|hypothetical_uncharacterized	Fur family transcriptional reg|0bp|other_regulator	3	no	no			
Mavi_homi	WP_003879062.1	LysR_ModE	no	NZ_CP036220.2	TetR/AcrR family transcription|106bp|other_regulator	alpha/beta fold hydrolase|77bp|other	2	no	no			
Mavi_homi	WP_003879269.1	TetR_SczA	no	NZ_CP036220.2	endonuclease domain-containing|60bp|other	RND family transporter|0bp|generic_transport_nonmetal	2	no	no			
Mavi_homi	WP_007170246.1	PbrR;ecZntR	no	NZ_CP036220.2	DUF2182 domain-containing prot|105bp|hypothetical_uncharacterized	DUF1490 family protein|121bp|hypothetical_uncharacterized	3	no	yes	copper-translocating P-type AT	copper-translocating P-type AT	473
Mavi_homi	WP_007170252.1	BsCzrA;mtNmtR	no	NZ_CP036220.2	heavy metal translocating P-ty|53bp|metal_efflux_transport	arsM|88bp|metal_resistance_enzyme	2	yes	yes	arsM;heavy metal translocating P-ty	heavy metal translocating P-ty	53
Mavi_homi	WP_007172204.1	TetR_SczA	no	NZ_CP036220.2	RND family transporter|804bp|generic_transport_nonmetal	RND family transporter|452bp|generic_transport_nonmetal	1	no	no			
Mavi_homi	WP_008257349.1	PbrR;ecZntR	no	NZ_CP036220.2	DUF1490 family protein|278bp|hypothetical_uncharacterized	BlaI/MecI/CopY family transcri|5638bp|other_regulator	1	no	no		copper-translocating P-type AT	628
Mavi_homi	WP_008257374.1	BsCzrA;mtNmtR	no	NZ_CP036220.2	ctpC|870bp|metal_efflux_transport	DUF1490 family protein|50bp|hypothetical_uncharacterized	2	no	yes	heavy metal translocating P-ty	heavy metal translocating P-ty	412
Mavi_homi	WP_008257468.1	TetR_SczA	no	NZ_CP036220.2	carbon-nitrogen hydrolase fami|931bp|other	alpha/beta fold hydrolase|0bp|other	1	no	no			
Mavi_homi	WP_008257501.1	CsoR_bsCsoR	yes	NZ_CP036220.2	PPE family protein%2C SVP subg|169bp|other	hypothetical protein|559bp|hypothetical_uncharacterized	1	no	no		heavy metal translocating P-ty	2792
Mavi_homi	WP_009974218.1	MarR_AdcR	no	NZ_CP036220.2	SDR family oxidoreductase|58bp|other	amino acid ABC transporter ATP|66bp|generic_transport_nonmetal	2	no	no			
Mavi_homi	WP_009975136.1	MarR_AdcR	no	NZ_CP036220.2	DUF2530 domain-containing prot|203bp|hypothetical_uncharacterized	TrmH family RNA methyltransfer|0bp|other	2	no	no			
Mavi_homi	WP_009975678.1	Rrf2_ecIscR	no	NZ_CP036220.2	cysC|58bp|other	VOC family protein|0bp|other	3	no	no			
Mavi_homi	WP_009977019.1	PbrR;ecZntR	no	NZ_CP036220.2	bifunctional nuclease family p|112bp|other	garA|0bp|other	2	no	no			
Mavi_homi	WP_009978709.1	TetR_SczA	no	NZ_CP036220.2	TetR/AcrR family transcription|37bp|other_regulator	hypothetical protein|0bp|hypothetical_uncharacterized	2	no	no			
Mavi_homi	WP_009979012.1	MarR_AdcR	no	NZ_CP036220.2	mmsB|75bp|other	pyridoxal phosphate-dependent |8bp|other	2	no	no			
Mavi_homi	WP_010948879.1	TetR_SczA	no	NZ_CP036220.2	ipdF|71bp|other	fadA6|15bp|other	2	no	no			
Mavi_homi	WP_011724184.1	BsCzrA;mtNmtR	no	NZ_CP036220.2	hypothetical protein|728bp|hypothetical_uncharacterized	recombinase family protein|0bp|other	2	yes	yes	ArsI/CadI family heavy metal r	ArsI/CadI family heavy metal r	97
Mavi_homi	WP_011724231.1	GntR_LldR	yes	NZ_CP036220.2	acyl-CoA dehydrogenase family |6bp|other	hypothetical protein|74bp|hypothetical_uncharacterized	3	no	no			
Mavi_homi	WP_011724270.1	PbrR;ecZntR	no	NZ_CP036220.2	aromatic ring-hydroxylating ox|40bp|other	DUF1906 domain-containing prot|60bp|hypothetical_uncharacterized	2	no	no			
Mavi_homi	WP_011724342.1	TetR_SczA	no	NZ_CP036220.2	EVE domain-containing protein|159bp|other	VOC family protein|125bp|other	2	no	no			
Mavi_homi	WP_011724552.1	ecFur;ecZur	yes	NZ_CP036220.2	hypothetical protein|78bp|hypothetical_uncharacterized	ArsR/SmtB family transcription|0bp|other	2	no	no			
Mavi_homi	WP_011725103.1	CopY_saMecI	no	NZ_CP036220.2	PaaI family thioesterase|425bp|other	M56 family metallopeptidase|14bp|other	2	no	no		modA	4940
Mavi_homi	WP_011725824.1	TetR_SczA	no	NZ_CP036220.2	hydroxymethylglutaryl-CoA lyas|14bp|other	acyl-CoA dehydrogenase family |10bp|other	2	no	no			
Mavi_homi	WP_011726214.1	MarR_AdcR	no	NZ_CP036220.2	alpha/beta family hydrolase|46bp|other	LLM class F420-dependent oxido|16bp|other	2	no	no			
Mavi_homi	WP_011726501.1	TetR_SczA	no	NZ_CP036220.2	ferredoxin reductase|97bp|other	hypothetical protein|35bp|hypothetical_uncharacterized	3	no	no			
Mavi_homi	WP_014379994.1	BsCzrA;mtNmtR	no	NZ_CP036220.2	cation diffusion facilitator f|724bp|metal_efflux_transport	DUF1490 family protein|171bp|hypothetical_uncharacterized	1	no	no		heavy metal translocating P-ty	653
