genome	accession	families	n_families	seq_ids	metalnet_analyzed	has_metalnet_site	site_residues	composition	max_prob	n_neighbor_genes	metal_gene_within_200bp	metal_gene_within_500bp	effective_metalloregulator
Mavi_homi	WP_003872558.1	LysR_ModE	1	WP_003872558_1	yes	no	-	-	-				
Mavi_homi	WP_003873121.1	GntR_LldR	1	WP_003873121_1	yes	yes	E118,H164,H217,H239	3H,1E	0.953				
Mavi_homi	WP_003873870.1	PbrR;ecZntR	2	WP_003873870_1	yes	no	-	-	-				
Mavi_homi	WP_003874019.1	TetR_SczA	1	WP_003874019_1	no	NA	-	-	-				
Mavi_homi	WP_003874104.1	CsoR_bsCsoR	1	WP_003874104_1	yes	yes	C38,H63,C67	2C,1H	0.879				
Mavi_homi	WP_003874151.1	GntR_LldR	1	WP_003874151_1	yes	yes	H134,E175,H176,H198	3H,1E	0.961				
Mavi_homi	WP_003874166.1	GntR_LldR	1	WP_003874166_1	yes	yes	E140,H144,H186	2H,1E	0.895				
Mavi_homi	WP_003874235.1	CsoR_bsCsoR	1	WP_003874235_1	yes	no	-	-	-				
Mavi_homi	WP_003874323.1	TetR_SczA	1	WP_003874323_1	yes	no	-	-	-				
Mavi_homi	WP_003874674.1	PbrR;ecZntR	2	WP_003874674_1	no	NA	-	-	-				
Mavi_homi	WP_003875160.1	DtxR_bsMntR	1	WP_003875160_1	yes	yes	H90,E94,H109,E113,E116,H117,D137,H139,D141	4H,3E,2D	0.962				
Mavi_homi	WP_003875762.1	TetR_SczA	1	WP_003875762_1	yes	no	-	-	-				
Mavi_homi	WP_003875976.1	PbrR;ecZntR	2	WP_003875976_1	yes	no	-	-	-				
Mavi_homi	WP_003877217.1	BsCzrA;mtNmtR	2	WP_003877217_1	yes	yes	H88,D95	1H,1D	0.811				
Mavi_homi	WP_003877537.1	TetR_SczA	1	WP_003877537_1	yes	no	-	-	-				
Mavi_homi	WP_003877960.1	BsCzrA;mtNmtR	2	WP_003877960_1	yes	no	-	-	-				
Mavi_homi	WP_003878320.1	BsCzrA;mtNmtR	2	WP_003878320_1	yes	yes	H108,H111,D115,H119,E122	3H,1E,1D	0.852				
Mavi_homi	WP_003879062.1	LysR_ModE	1	WP_003879062_1	yes	no	-	-	-				
Mavi_homi	WP_003879269.1	TetR_SczA	1	WP_003879269_1	yes	no	-	-	-				
Mavi_homi	WP_007170246.1	PbrR;ecZntR	2	WP_007170246_1	yes	no	-	-	-				
Mavi_homi	WP_007170252.1	BsCzrA;mtNmtR	2	WP_007170252_1	yes	no	-	-	-				
Mavi_homi	WP_007172204.1	TetR_SczA	1	WP_007172204_1	yes	no	-	-	-				
Mavi_homi	WP_008257349.1	PbrR;ecZntR	2	WP_008257349_1	yes	no	-	-	-				
Mavi_homi	WP_008257374.1	BsCzrA;mtNmtR	2	WP_008257374_1	yes	no	-	-	-				
Mavi_homi	WP_008257468.1	TetR_SczA	1	WP_008257468_1	yes	no	-	-	-				
Mavi_homi	WP_008257501.1	CsoR_bsCsoR	1	WP_008257501_1	yes	yes	C38,H63,C67	2C,1H	0.849				
